marca,name,price,link,image,scraped_at
marca_79,Playmat Prime Gamegenic - Tie Fighter,169.90,https://www.ligaswu.com.br/?view=prod/view&pcode=129508&prod=Playmat Prime Gamegenic - Tie Fighter,https://repositorio.sbrauble.com/arquivos/up/prod/20240209/1707484705_3107.jpg,2025-12-15T11:49:42.603955
marca_79,Playmat Prime Gamegenic - Unlimited,199.90,https://www.ligaswu.com.br/?view=prod/view&pcode=134586&prod=Playmat Prime Gamegenic - Unlimited,https://repositorio.sbrauble.com/arquivos/up/prod/20251106/1762456605_900.jpg,2025-12-15T11:49:42.604956
marca_79,Playmat Prime Gamegenic - X-Wing,169.90,https://www.ligaswu.com.br/?view=prod/view&pcode=129509&prod=Playmat Prime Gamegenic - X-Wing,https://repositorio.sbrauble.com/arquivos/up/prod/20240209/1707484831_2364.jpg,2025-12-15T11:49:42.604956
marca_79,Playmat Prime Gamegenic - Yoda,169.90,https://www.ligaswu.com.br/?view=prod/view&pcode=132427&prod=Playmat Prime Gamegenic - Yoda,https://repositorio.sbrauble.com/arquivos/up/prod/20241108/1731086584_9609.jpg,2025-12-15T11:49:42.605956
marca_79,Playmat Prime XL Gamegenic - Hyperspace,237.99,https://www.ligaswu.com.br/?view=prod/view&pcode=129510&prod=Playmat Prime XL Gamegenic - Hyperspace,https://repositorio.sbrauble.com/arquivos/up/prod/20240209/1707485056_9649.jpg,2025-12-15T11:49:42.605956
marca_79,Premium Tokens Gamegenic (Star Wars Unlimited),192.99,https://www.ligaswu.com.br/?view=prod/view&pcode=129497&prod=Premium Tokens Gamegenic (Star Wars Unlimited),https://repositorio.sbrauble.com/arquivos/up/prod/20240208/1707421585_5540.jpg,2025-12-15T11:49:42.606955
marca_79,Sleeve Gamegenic - Padrão - Ahsoka Tano (Star Wars Unlimited),50.00,https://www.ligaswu.com.br/?view=prod/view&pcode=132430&prod=Sleeve Gamegenic - Padrão - Ahsoka Tano (Star Wars Unlimited),https://repositorio.sbrauble.com/arquivos/up/prod/20241108/1731089794_7448.jpg,2025-12-15T11:49:42.606955
marca_79,Sleeve Gamegenic - Padrão - Darth Maul (Star Wars Unlimited),50.00,https://www.ligaswu.com.br/?view=prod/view&pcode=132433&prod=Sleeve Gamegenic - Padrão - Darth Maul (Star Wars Unlimited),https://repositorio.sbrauble.com/arquivos/up/prod/20241111/1731327529_4108.jpg,2025-12-15T11:49:42.606955
marca_79,Sleeve Gamegenic - Padrão - Darth Vader Art (Star Wars Unlimited),51.99,https://www.ligaswu.com.br/?view=prod/view&pcode=129498&prod=Sleeve Gamegenic - Padrão - Darth Vader Art (Star Wars Unlimited),https://repositorio.sbrauble.com/arquivos/up/prod/20240208/1707422310_144.jpg,2025-12-15T11:49:42.607956
marca_79,Sleeve Gamegenic - Padrão - General Grievous (Star Wars Unlimited),51.99,https://www.ligaswu.com.br/?view=prod/view&pcode=132431&prod=Sleeve Gamegenic - Padrão - General Grievous (Star Wars Unlimited),https://repositorio.sbrauble.com/arquivos/up/prod/20241108/1731091277_2779.jpg,2025-12-15T11:49:42.607956
marca_79,Sleeve Gamegenic - Padrão - Kylo Ren (Star Wars Unlimited),47.92,https://www.ligaswu.com.br/?view=prod/view&pcode=131998&prod=Sleeve Gamegenic - Padrão - Kylo Ren (Star Wars Unlimited),https://repositorio.sbrauble.com/arquivos/up/prod/20240919/1726771604_1350.jpg,2025-12-15T11:49:42.608956
